"","city","Nb2stage.ee","Nr2stage.ee","Nt2stage.ee"
"1","宜蘭縣",11481.6471444444,4185.66152222222,3385.77777777778
"2","花蓮縣",8334.96515714286,6726.59267857143,5100.21428571429
"3","金門縣",313.125,253.07475,187.5
"4","南投縣",26644.4142055556,7359.48954722222,5731.80555555555
"5","屏東縣",91753.90994,22248.2081483333,17026.7666666667
"6","苗栗縣",4097.393225,3334.7296125,2582.25
"7","桃園市",12313.4872722222,12829.5859694444,9494.22916666667
"8","高雄市",35262.7419861111,19175.0316027778,14848.0277777778
"9","基隆市",13874.0305642857,3665.31190714286,2826
"10","連江縣",0,0,0
"11","雲林縣",11449.7274983333,6165.9672,5002.43333333333
"12","新北市",25191.2701618039,12749.793277451,10029.2164705882
"13","新竹市",2875.66842105263,963.028831578947,776.947368421053
"14","新竹縣",4664.83333333333,4835.41506666667,3571.5
"15","嘉義市",1054.80415384615,1220.14393846154,1014.46153846154
"16","嘉義縣",165368.719770833,21119.70639375,15183.7916666667
"17","彰化縣",22853.7981929293,9845.57578217172,7912.92424242424
"18","臺中市",11170.2874347826,7433.74577246377,5715.39130434783
"19","臺北市",8670.78084324324,3533.75597837838,2846.91891891892
"20","臺東縣",6631.40457777778,4392.11087777778,3223.22222222222
"21","臺南市",41389.8818513333,22472.076648,17266.9166666667
"22","澎湖縣",823.5,1126.6587,823.5
